Handle,Varenavn,Fargenavn,Str-navn,eanplu,Innkjøpspris,Salgspris,Antall
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,10,8720111609436,714.0,1999,2
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,10,8720111609436,714.0,1999,1
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,12,8720111609443,714.0,1999,3
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,12,8720111609443,714.0,1999,2
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,14,8720111609450,714.0,1999,3
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,14,8720111609450,714.0,1999,2
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,16,8720111609467,714.0,1999,3
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,16,8720111609467,714.0,1999,2
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,8,8720111609429,714.0,1999,1
KB0KB05879BDS,ESSENTIAL DOWN JACKET,Black,8,8720111609429,714.0,1999,1
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,10,8719862886661,714.0,1999,2
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,10,8719862886661,714.0,1999,1
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,12,8719862887200,714.0,1999,3
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,12,8719862887200,714.0,1999,2
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,14,8719862887507,714.0,1999,3
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,14,8719862887507,714.0,1999,2
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,16,8719862887828,714.0,1999,3
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,16,8719862887828,714.0,1999,2
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,8,8719862886333,714.0,1999,1
KB0KB05879C87,ESSENTIAL DOWN JACKET,Twilight Navy,8,8719862886333,714.0,1999,1
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,10,8720114803077,714.0,1999,2
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,10,8720114803077,714.0,1999,1
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,12,8720114803084,714.0,1999,3
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,12,8720114803084,714.0,1999,2
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,14,8720114803091,714.0,1999,3
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,14,8720114803091,714.0,1999,2
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,16,8720114803107,714.0,1999,1
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,16,8720114803107,714.0,1999,2
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,8,8720114803060,714.0,1999,1
KB0KB05879MRZ,ESSENTIAL DOWN JACKET,Dark Olive,8,8720114803060,714.0,1999,1
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,10,8720114870529,500.0,1399,2
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,10,8720114870529,500.0,1399,1
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,12,8720114870550,500.0,1399,3
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,12,8720114870550,500.0,1399,2
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,14,8720114870611,500.0,1399,3
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,14,8720114870611,500.0,1399,2
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,16,8720114870666,500.0,1399,3
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,16,8720114870666,500.0,1399,2
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,8,8720114870482,500.0,1399,1
KB0KB06751MRZ,REVERSIBLE SHERPA VEST,Dark Olive / Sherpa,8,8720114870482,500.0,1399,1
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,10,8720114839151,250.0,699,2
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,10,8720114839151,250.0,699,2
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,12,8720114839182,250.0,699,3
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,12,8720114839182,250.0,699,2
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,14,8720114839311,250.0,699,3
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,14,8720114839311,250.0,699,3
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,16,8720114839342,250.0,699,1
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,16,8720114839342,250.0,699,1
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,8,8720114839106,250.0,699,1
KB0KB068301BJ,SCANTON SLIM,Darkusedcomf,8,8720114839106,250.0,699,1
KB0KB068401A6,MODERN STRAIGHT EMBROIDERY,Authmedused,10,8720114844742,285.5,799,2
KB0KB068401A6,MODERN STRAIGHT EMBROIDERY,Authmedused,10,8720114844742,285.5,799,2
